Date,Price(USD),Volume(USD)
"2017-10-31","0.070055","0"
"2017-11-01","0.047914","75491"
"2017-11-02","0.047553","37945"
"2017-11-03","0.052422","53808"
"2017-11-04","0.053058","19811"
"2017-11-05","0.052272","21512"
"2017-11-06","0.051501","33736"
"2017-11-07","0.051067","44930"
"2017-11-08","0.068722","152469"
"2017-11-09","0.065383","120332"
"2017-11-10","0.063955","59352"
"2017-11-11","0.068781","143460"
"2017-11-12","0.063748","56254"
"2017-11-13","0.068030","74247"
"2017-11-14","0.053550","440"
"2017-11-15","0.074123","80234"
"2017-11-16","0.072068","46337"
"2017-11-17","0.068642","65223"
"2017-11-18","0.069829","71142"
"2017-11-19","0.072124","36342"
"2017-11-20","0.066572","39983"
"2017-11-21","0.080140","85681"
"2017-11-22","0.100216","212275"
"2017-11-23","0.114876","261133"
"2017-11-24","0.128864","125997"
"2017-11-25","0.128905","159590"
"2017-11-26","0.117874","233189"
"2017-11-27","0.134638","307144"
"2017-11-28","0.138295","217113"
"2017-11-29","0.115127","150177"
"2017-11-30","0.131361","203562"
"2017-12-01","0.193961","496717"
"2017-12-02","0.205867","350447"
"2017-12-03","0.203144","207353"
"2017-12-04","0.198678","188402"
"2017-12-05","0.211160","118696"
"2017-12-06","0.225252","246612"
"2017-12-07","0.226575","215454"
"2017-12-08","0.244414","373250"
"2017-12-09","0.250659","171977"
"2017-12-10","0.231020","300801"
"2017-12-11","0.274164","425816"
"2017-12-12","0.285103","277014"
"2017-12-13","0.281556","351374"
"2017-12-14","0.345642","382809"
"2017-12-15","0.365065","730975"
"2017-12-16","0.341464","420005"
"2017-12-17","0.488393","1029212"
"2017-12-18","0.256162","1001367"
"2017-12-19","0.270899","450308"
"2017-12-20","0.253681","41394"
"2017-12-21","0.235934","82130"
"2017-12-22","0.208311","131747"
"2017-12-23","0.212824","127961"
"2017-12-24","0.224601","153433"
"2017-12-25","0.239505","219511"
"2017-12-26","0.225968","117761"
"2017-12-27","0.208077","176478"
"2017-12-28","0.195610","88346"
"2017-12-29","0.198689","139705"
"2017-12-30","0.177865","71980"
"2017-12-31","0.187323","156868"
"2018-01-01","0.201330","78457"
"2018-01-02","0.199462","99900"
"2018-01-03","0.232861","133746"
"2018-01-04","0.288632","199200"
"2018-01-05","0.347467","96755"
"2018-01-06","0.496798","360578"
"2018-01-07","0.717594","680975"
"2018-01-08","1.330000","1262625"
"2018-01-09","1.480000","1263169"
"2018-01-10","1.400000","768234"
"2018-01-11","1.110000","416861"
"2018-01-12","1.290000","434614"
"2018-01-13","1.310000","217015"
"2018-01-14","1.030000","127299"
"2018-01-15","0.945371","144154"
"2018-01-16","0.655065","73673"
"2018-01-17","0.582214","58335"
"2018-01-18","0.739689","33445"
"2018-01-19","0.757963","32633"
"2018-01-20","0.758889","34924"
"2018-01-21","0.548791","56327"
"2018-01-22","0.503075","69900"
"2018-01-23","0.402593","15754"
"2018-01-24","0.463243","44045"
"2018-01-25","0.337533","30961"
"2018-01-26","0.477974","88170"
"2018-01-27","0.471074","66957"
"2018-01-28","0.375471","3498"
"2018-01-29","0.439252","56990"
"2018-01-30","0.406856","54723"
"2018-01-31","0.373153","54895"
"2018-02-01","0.352296","28793"
"2018-02-02","0.288342","15532"
"2018-02-03","0.214306","37354"
"2018-02-04","0.267046","8944"
"2018-02-05","0.339617","10451"
"2018-02-06","0.199849","25343"
"2018-02-07","0.240540","28846"
"2018-02-08","0.217804","20849"
"2018-02-09","0.238569","2522"
"2018-02-10","0.244469","1466"
"2018-02-11","0.280135","412"
"2018-02-12","0.268993","3606"
"2018-02-13","0.222785","2408"
"2018-02-14","0.242685","1205"
"2018-02-15","0.186769","584"
"2018-02-16","0.207308","1545"
"2018-02-17","0.210113","2277"
"2018-02-18","0.261848","429"
"2018-02-19","0.249826","443"
"2018-02-20","0.198079","6480"
"2018-02-21","0.196231","5983"
"2018-02-22","0.166859","633"
"2018-02-23","0.167515","675"
"2018-02-24","0.171851","295430"
"2018-02-25","0.149875","293383"
"2018-02-26","0.150956","535302"
"2018-02-27","0.157382","435242"
"2018-02-28","0.160285","444555"
"2018-03-01","0.198758","542146"
"2018-03-02","0.195159","452067"
"2018-03-03","0.189155","291682"
"2018-03-04","0.170542","248947"
"2018-03-05","0.171359","187426"
"2018-03-06","0.164272","183738"
"2018-03-07","0.158248","419361"
"2018-03-08","0.142965","333984"
"2018-03-09","0.122285","258935"
"2018-03-10","0.122904","237218"
"2018-03-11","0.113366","185546"
"2018-03-12","0.100622","469845"
"2018-03-13","0.100195","280189"
"2018-03-14","0.108908","173994"
"2018-03-15","0.090004","162964"
"2018-03-16","0.090114","90848"
"2018-03-17","0.097074","193455"
"2018-03-18","0.090453","159215"
"2018-03-19","0.087202","248860"
"2018-03-20","0.091864","173296"
"2018-03-21","0.094837","194254"
"2018-03-22","0.095150","121972"
"2018-03-23","0.092335","94740"
"2018-03-24","0.092134","173813"
"2018-03-25","0.089665","121420"
"2018-03-26","0.086014","148810"
"2018-03-27","0.081199","118212"
"2018-03-28","0.075929","63579"
"2018-03-29","0.074031","65742"
"2018-03-30","0.064632","99637"
"2018-03-31","0.064851","66720"
"2018-04-01","0.065391","40626"
"2018-04-02","0.064724","113672"
"2018-04-03","0.066299","113958"
"2018-04-04","0.070951","68397"
"2018-04-05","0.064200","57789"
"2018-04-06","0.063509","41724"
"2018-04-07","0.060909","64264"
"2018-04-08","0.063644","33701"
"2018-04-09","0.064723","43589"
"2018-04-10","0.063370","68704"
"2018-04-11","0.064078","40927"
"2018-04-12","0.069056","93590"
"2018-04-13","0.077088","103206"
"2018-04-14","0.074638","135966"
"2018-04-15","0.076035","64216"
"2018-04-16","0.078243","102834"
"2018-04-17","0.075877","95487"
"2018-04-18","0.074453","54744"
"2018-04-19","0.075525","92494"
"2018-04-20","0.073406","123991"
"2018-04-21","0.078111","214446"
"2018-04-22","0.078862","101082"
"2018-04-23","0.074156","156316"
"2018-04-24","0.077715","139147"
"2018-04-25","0.084343","272545"
"2018-04-26","0.076004","189934"
"2018-04-27","0.083648","253942"
"2018-04-28","0.078144","277777"
"2018-04-29","0.084400","144621"
"2018-04-30","0.083843","199196"
"2018-05-01","0.082737","196995"
"2018-05-02","0.081826","131536"
"2018-05-03","0.082807","135672"
"2018-05-04","0.088566","248636"
"2018-05-05","0.091529","508760"
"2018-05-06","0.095275","113959"
"2018-05-07","0.101292","254412"
"2018-05-08","0.098198","192747"
"2018-05-09","0.098979","216482"
"2018-05-10","0.095591","305007"
"2018-05-11","0.090915","283977"
"2018-05-12","0.081853","475986"
"2018-05-13","0.083824","215037"
"2018-05-14","0.089278","205839"
"2018-05-15","0.090967","235392"
"2018-05-16","0.086600","211794"
"2018-05-17","0.086088","163563"
"2018-05-18","0.083505","159748"
"2018-05-19","0.086008","278666"
"2018-05-20","0.084776","116258"
"2018-05-21","0.085196","167992"
"2018-05-22","0.082997","141906"
"2018-05-23","0.074220","187853"
"2018-05-24","0.067688","148429"
"2018-05-25","0.075078","254508"
"2018-05-26","0.067793","570561"
"2018-05-27","0.066920","123496"
"2018-05-28","0.070254","204982"
"2018-05-29","0.062912","179032"
"2018-05-30","0.067785","344217"
"2018-05-31","0.065172","172899"
"2018-06-01","0.067880","164493"
"2018-06-02","0.066769","215695"
"2018-06-03","0.067267","88472"
"2018-06-04","0.061742","376557"
"2018-06-05","0.059345","222716"
"2018-06-06","0.058169","134705"
"2018-06-07","0.059125","104539"
"2018-06-08","0.060418","126214"
"2018-06-09","0.057633","210154"
"2018-06-10","0.056017","62203"
"2018-06-11","0.049385","95201"
"2018-06-12","0.049867","77900"
"2018-06-13","0.041031","205303"
"2018-06-14","0.036660","131211"
"2018-06-15","0.041526","88998"
"2018-06-16","0.037565","141156"
"2018-06-17","0.036522","53751"
"2018-06-18","0.037755","39657"
"2018-06-19","0.039123","61525"
"2018-06-20","0.040404","71316"
"2018-06-21","0.041394","70891"
"2018-06-22","0.040840","88482"
"2018-06-23","0.035624","168337"
"2018-06-24","0.036105","59638"
"2018-06-25","0.034937","64144"
"2018-06-26","0.034709","47928"
"2018-06-27","0.032410","157999"
"2018-06-28","0.029017","160445"
"2018-06-29","0.029256","74483"
"2018-06-30","0.032445","87453"
"2018-07-01","0.033321","43712"
"2018-07-02","0.032977","45753"
"2018-07-03","0.033804","56643"
"2018-07-04","0.033322","40865"
"2018-07-05","0.033310","44648"
"2018-07-06","0.033875","59323"
"2018-07-07","0.035444","84399"
"2018-07-08","0.036867","38159"
"2018-07-09","0.039502","63368"
"2018-07-10","0.039659","56646"
"2018-07-11","0.037202","63778"
"2018-07-12","0.037679","53369"
"2018-07-13","0.039194","52216"
"2018-07-14","0.050866","294834"
"2018-07-15","0.055126","295410"
"2018-07-16","0.055017","187278"
"2018-07-17","0.058662","193609"
"2018-07-18","0.063472","169185"
"2018-07-19","0.060879","276950"
"2018-07-20","0.057188","199449"
"2018-07-21","0.054128","186124"
"2018-07-22","0.052917","284002"
"2018-07-23","0.047802","206681"
"2018-07-24","0.043298","1056002"
"2018-07-25","0.044077","516703"
"2018-07-26","0.041980","171190"
"2018-07-27","0.046740","294334"
"2018-07-28","0.046897","303409"
"2018-07-29","0.048072","244903"
"2018-07-30","0.047704","233259"
"2018-07-31","0.047343","242382"
"2018-08-01","0.043135","143198"
"2018-08-02","0.041307","100901"
"2018-08-03","0.041177","76083"
"2018-08-04","0.040530","114998"
"2018-08-05","0.037184","92322"
"2018-08-06","0.036939","80588"
"2018-08-07","0.038078","75222"
"2018-08-08","0.035835","84418"
"2018-08-09","0.035368","81669"
"2018-08-10","0.036808","88729"
"2018-08-11","0.034225","186944"
"2018-08-12","0.033461","83570"
"2018-08-13","0.033488","64034"
"2018-08-14","0.031729","90434"
"2018-08-15","0.028624","117302"
"2018-08-16","0.029210","87394"
"2018-08-17","0.029189","81548"
"2018-08-18","0.029922","79244"
"2018-08-19","0.029000","83503"
"2018-08-20","0.029549","80653"
"2018-08-21","0.027533","84327"
"2018-08-22","0.028270","74807"
"2018-08-23","0.027336","62007"
"2018-08-24","0.028510","67336"
"2018-08-25","0.029806","91717"
"2018-08-26","0.031143","92666"
"2018-08-27","0.031208","82609"
"2018-08-28","0.033838","118185"
"2018-08-29","0.035048","129292"
"2018-08-30","0.033723","80483"
"2018-08-31","0.033885","75948"
"2018-09-01","0.033394","73796"
"2018-09-02","0.034141","62180"
"2018-09-03","0.034055","81946"
"2018-09-04","0.034470","54556"
"2018-09-05","0.033090","69683"
"2018-09-06","0.029167","109716"
"2018-09-07","0.027604","85126"
"2018-09-08","0.026850","77019"
"2018-09-09","0.025111","54750"
"2018-09-10","0.025310","67085"
"2018-09-11","0.025779","57508"
"2018-09-12","0.023353","69950"
"2018-09-13","0.022191","67593"
"2018-09-14","0.027531","112763"
"2018-09-15","0.026234","151956"
"2018-09-16","0.026387","65325"
"2018-09-17","0.026427","58938"
"2018-09-18","0.024712","63213"
"2018-09-19","0.025708","58289"
"2018-09-20","0.025846","61328"
"2018-09-21","0.026810","67123"
"2018-09-22","0.028899","88161"
"2018-09-23","0.028030","54781"
"2018-09-24","0.027996","55341"
"2018-09-25","0.028539","55243"
"2018-09-26","0.026316","71932"
"2018-09-27","0.026465","47975"
"2018-09-28","0.027735","56820"
"2018-09-29","0.026597","51408"
"2018-09-30","0.027692","71187"
"2018-10-01","0.027376","80960"
"2018-10-02","0.027207","49186"
"2018-10-03","0.026963","64011"
"2018-10-04","0.025911","96001"
"2018-10-05","0.026448","60947"
"2018-10-06","0.026160","60047"
"2018-10-07","0.026444","32543"
"2018-10-08","0.026802","42878"
"2018-10-09","0.026680","56867"
"2018-10-10","0.026801","50569"
"2018-10-11","0.026491","59171"
"2018-10-12","0.023492","66321"
"2018-10-13","0.024758","41960"
"2018-10-14","0.024806","48814"
"2018-10-15","0.024056","37895"
"2018-10-16","0.026276","81267"
"2018-10-17","0.026663","88354"
"2018-10-18","0.026231","53990"
"2018-10-19","0.026047","51823"
"2018-10-20","0.025318","72389"
"2018-10-21","0.026664","67303"
"2018-10-22","0.026251","91872"
"2018-10-23","0.026293","78627"
"2018-10-24","0.025353","87458"
"2018-10-25","0.024409","48962"
"2018-10-26","0.024959","62304"
"2018-10-27","0.024181","49057"
"2018-10-28","0.024221","42080"
"2018-10-29","0.024320","44345"
"2018-10-30","0.023183","112236"
"2018-10-31","0.023384","47649"
"2018-11-01","0.023576","60366"
"2018-11-02","0.023616","78700"
"2018-11-03","0.022860","79210"
"2018-11-04","0.022767","62061"
"2018-11-05","0.023034","48782"
"2018-11-06","0.023240","36840"
"2018-11-07","0.024619","94300"
"2018-11-08","0.024415","54310"
"2018-11-09","0.023412","67141"
"2018-11-10","0.023585","70627"
"2018-11-11","0.023843","70497"
"2018-11-12","0.023024","56418"
"2018-11-13","0.024290","97451"
"2018-11-14","0.022736","86670"
"2018-11-15","0.020111","118022"
"2018-11-16","0.019699","112845"
"2018-11-17","0.019083","86340"
"2018-11-18","0.019595","61810"
"2018-11-19","0.019050","48589"
"2018-11-20","0.015143","154270"
"2018-11-21","0.012468","102444"
"2018-11-22","0.013379","65265"
"2018-11-23","0.012398","44778"
"2018-11-24","0.011613","71739"
"2018-11-25","0.010371","56867"
"2018-11-26","0.010391","72640"
"2018-11-27","0.009970","44077"
"2018-11-28","0.010141","48420"
"2018-11-29","0.011933","76555"
"2018-11-30","0.011737","56795"
"2018-12-01","0.010327","37069"
"2018-12-02","0.011891","40036"
"2018-12-03","0.011304","37188"
"2018-12-04","0.010522","56788"
"2018-12-05","0.010631","39453"
"2018-12-06","0.010243","35852"
"2018-12-07","0.009129","56376"
"2018-12-08","0.008264","65231"
"2018-12-09","0.008359","42873"
"2018-12-10","0.008729","28440"
